answer,left_method,participant,right_method,test_case
237727,237800,ec52d959-82cd-410f-8390-50c0376c777f,237727,00111
237800,237727,3073d9fc-79e7-49cb-957a-a9ea1ec9efb4,237800,00111
237800,237800,45b4f6b2-6784-4006-aac8-dc9e937eb0da,237727,00111
,237727,3df91f55-78df-46cb-b6a7-b4fb33eaa0c1,237800,00111
237800,237800,0ca58e48-e6e0-47cd-8e02-604af952f0c3,237727,00111
237800,237727,09747fa4-3181-4350-a23a-00d00b051ad0,237800,00111
237800,237800,75242d0a-2adf-4dd5-8b94-75525954feb6,237727,00111
237800,237800,712d9c7f-bb2e-4585-995e-3df855a94632,237727,00111
237800,237727,1950f126-cafa-430d-8c82-985fedfdbc67,237800,00111
,237800,e92092b8-c6ad-4a5d-bfec-28d357410c50,237727,00111
,237727,a96e611b-498e-46bf-8281-aca928dee4ae,237800,00112
237800,237727,3f80a486-a069-4058-a2b3-1987491266bd,237800,00112
237800,237800,7b221633-c20a-431d-8600-0474e2842839,237727,00112
237727,237800,2877b57f-5b02-4260-8fa9-b7f84a982ff2,237727,00112
237800,237727,93a66f9a-029d-4742-a095-824f0c857e43,237800,00112
237800,237800,f97c882c-62f7-4025-9753-c722e5e4cd81,237727,00112
237800,237800,d9206368-7e94-4af6-804d-16f30f8eddf8,237727,00112
237800,237800,e27c8b42-474b-4f30-919a-79188da52015,237727,00112
237727,237800,80f3c5f0-f625-432e-8a69-3ae9dc920926,237727,00112
,237727,b4616b5b-6ae8-4967-8cc8-99b28767bf6c,237800,00112
237800,237800,46592630-6470-4d23-951b-3957c2b7d48b,237727,00113
237800,237727,b9282cb9-5009-4d14-83c2-9b62a3134a93,237800,00113
237800,237727,2877b57f-5b02-4260-8fa9-b7f84a982ff2,237800,00113
237727,237800,52e88e46-8023-455b-8161-cb53229ff3f5,237727,00113
,237800,a8d8c298-22aa-4a67-811b-8950571ee2cf,237727,00113
,237800,ecde2857-aca4-4662-8c7d-0d1c0f64990e,237727,00113
,237727,63fb8a3d-345c-4f48-a4cd-88701660feeb,237800,00113
237800,237800,3a67da03-357e-46a1-81d4-b0d4dc410dc8,237727,00113
237800,237727,68be6fd5-2444-4aaf-90ca-8dde205fc5c1,237800,00113
237800,237800,21f614be-f5d5-4663-a7bb-6f9d4cb63f30,237727,00113
237727,237800,eae3aaa6-ba39-4b2a-a726-321b8752a1af,237727,00114
237800,237727,c98c2b27-f4c7-474e-ba8d-f72b58729530,237800,00114
,237800,3a0d06c3-68b0-4299-bcfa-aca7b369f7dd,237727,00114
237800,237727,986ae698-c7a9-4d28-9f75-74e14f51d908,237800,00114
,237727,49005ba4-3697-4ad9-abbd-63d74ce3eda8,237800,00114
,237800,531d5fdb-1cc8-4e9a-beb9-e5baec16b685,237727,00114
237727,237727,af760ec3-d7eb-4610-b08d-b45cfb73734c,237800,00114
237800,237727,37cbfe8a-11ec-4aed-ae45-eb0467b82afc,237800,00114
237800,237800,a94d9a87-f5b9-4276-8a3d-48710d8e64ef,237727,00114
237800,237800,64fd85d1-4a1c-43f9-8573-60af461f8d59,237727,00114
237800,237727,9aa84599-aae1-4820-a846-7fccae797c93,237800,00115
237727,237800,dc77f6fc-789c-48ff-9e79-076b64a345bd,237727,00115
237800,237800,4f021dae-92ad-4111-8f41-f6ab161f9657,237727,00115
237800,237800,96459f55-83ad-4dd5-90db-bd3a520e257b,237727,00115
237800,237800,21371b4d-712f-49d2-92f0-4f1f0a5c57f3,237727,00115
,237800,12d155e5-b717-4f85-9396-9b73158985a3,237727,00115
,237727,3dcc6b44-785b-421c-b8a5-24bf16459970,237800,00115
237800,237800,d22f3851-bb78-4aa5-b00e-c5d16ce0f959,237727,00115
,237800,e057d430-57c9-449a-9a75-07c542cb545c,237727,00115
237800,237727,39ec73b6-1d0c-4f75-8c9b-040697d8078d,237800,00115
237800,237727,f514069e-949a-460c-bb98-1db94268f468,237800,00116
237800,237800,19c27d84-4332-43a1-8860-298a2d7af60c,237727,00116
,237800,663cf268-2b48-497b-86f1-9eca463796cc,237727,00116
237800,237800,a5624755-a759-4446-86fc-f6ff87b1dfb2,237727,00116
237800,237800,8eba615c-17dd-4bb2-9a87-3091622d8610,237727,00116
237800,237800,d6609c8f-ad19-490b-9de4-49d12de44c01,237727,00116
237800,237727,9f5911e8-2afb-4f7a-9f8a-bd04bd16c51d,237800,00116
237727,237800,695bc912-c34e-4c33-a324-92a672fabd61,237727,00116
,237727,1825202c-92f6-4791-82d7-33b383da1690,237800,00116
,237800,4b87e5b5-2e5f-44db-ad40-7b7800dc5907,237727,00116
237800,237800,9ec53270-c2b7-4ef4-b98a-fe28676000e1,237727,00117
237800,237800,1ea4fa5f-454b-453a-9041-d42668297b55,237727,00117
237800,237727,b89c7f33-61d9-48ff-bc55-fcd24cc21465,237800,00117
,237727,54ceaa01-1a11-44d3-a733-c52f8d4920e1,237800,00117
237727,237800,a9e6309d-61a9-478c-9ca2-959fb1f4e401,237727,00117
237800,237800,3bce1b66-2148-4172-92e8-a8a09bf0ebdb,237727,00117
237800,237800,2fe2978d-94a8-4df0-be93-00c24800e827,237727,00117
